2019-11-27 16:02:29.685 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.547 ms
2019-11-27 16:02:29.702 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.8065 ms
2019-11-27 16:02:34.873 +02:00 [INF] HTTP GET /Home/Privacy responded 200 in 59.123 ms
2019-11-27 16:02:34.892 +02:00 [INF] HTTP GET /notification?id=vXYmPGzTgWpgfX-m_bH3Ng responded 101 in 42015.1506 ms
2019-11-27 16:02:35.398 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.7603 ms
2019-11-27 16:02:35.464 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 1.7548 ms
2019-11-27 16:02:35.506 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.7474 ms
2019-11-27 16:02:46.890 +02:00 [INF] HTTP GET /Home/LogOutAsync responded 200 in 15.9329 ms
2019-11-27 16:02:46.906 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=New responded 302 in 0.8099 ms
2019-11-27 16:02:46.914 +02:00 [INF] HTTP GET /?ReturnUrl=%2FEmail%2FListEmailsAsync%3FemailStatus%3DNew responded 200 in 1.3259 ms
2019-11-27 16:02:46.946 +02:00 [INF] HTTP GET /notification?id=BEvjP_t79zGu5cF12VbN7Q responded 101 in 17344.2748 ms
2019-11-27 16:02:50.685 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=Open responded 200 in 76.8444 ms
2019-11-27 16:02:50.736 +02:00 [INF] HTTP GET /notification?id=aIuK_asScHwUh52SOFK4vA responded 101 in 15297.8578 ms
2019-11-27 16:02:51.291 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.7419 ms
2019-11-27 16:02:51.374 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.3506 ms
2019-11-27 16:02:51.477 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.6417 ms
2019-11-27 16:02:54.719 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=NotReviewed responded 200 in 19.9696 ms
2019-11-27 16:02:54.732 +02:00 [INF] HTTP GET /notification?id=XWWbx8DDdRU27cx3P-corg responded 101 in 3359.2951 ms
2019-11-27 16:02:55.176 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 1.0417 ms
2019-11-27 16:02:55.256 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.3245 ms
2019-11-27 16:02:55.313 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.8218 ms
